cb_code,board,school_name,district,state,affiliation_id,level,year_founded,address,pincode,email,management
CB-ICS-AP-00001,CISCE,Shantiniketan English Medium School,​Anantapur,Andhra Pradesh,,ICSE/ISC,,Vidya Nagar Kutagulla Kadiri,,,
CB-ICS-AP-00002,CISCE,Emmaus - Swiss Referral Hospital School,​Chittoor,Andhra Pradesh,,ICSE/ISC,,P. O. Palamaner L. S. Farm,,,
CB-ICS-AP-00003,CISCE,Rishi Valley School,​Chittoor,Andhra Pradesh,,ICSE/ISC,,Rishi Valley,,,
CB-ICS-AP-00004,CISCE,The Peepal Grove School,​Chittoor,Andhra Pradesh,,ICSE/ISC,,P. O. Gongivaripalli Sadum Mandal,,,
CB-ICS-AP-00005,CISCE,Vasishta School,​Chittoor,Andhra Pradesh,,ICSE/ISC,,Post Box #29 Vidya Nagar Madanapalle,,,
CB-ICS-AP-00006,CISCE,Vijayavani Residential School,​Chittoor,Andhra Pradesh,,ICSE/ISC,,Vijaya Vani Nagar,,,
CB-ICS-AP-00007,CISCE,Paramjyoti Public School,​East Godavari,Andhra Pradesh,,ICSE/ISC,,Near Red Bridge Amalapuram East Godavari,,,
CB-ICS-AP-00008,CISCE,Sri Sathya Sai Gurukulam English Medium School,​East Godavari,Andhra Pradesh,,ICSE/ISC,,Rajahmundry,,,
CB-ICS-AP-00009,CISCE,St. ANN's School,​East Godavari,Andhra Pradesh,,ICSE/ISC,,Gurukulam Road Rajahmundry,,,
CB-ICS-AP-00010,CISCE,St. Joseph's Convent School,​East Godavari,Andhra Pradesh,,ICSE/ISC,,Church Square Jagannaickpur Kakinada,,,
CB-ICS-AP-00011,CISCE,The Future Kid's School,​East Godavari,Andhra Pradesh,,ICSE/ISC,,88-1-26 Beside O. N. G. C. Base Complex Kaval,,,
CB-ICS-AP-00012,CISCE,Little Flower English Medium School,​Guntur,Andhra Pradesh,,ICSE/ISC,,Vidya Nagar,,,
CB-ICS-AP-00013,CISCE,Loyola Public School,​Guntur,Andhra Pradesh,,ICSE/ISC,,"Nallapadu, Loyola Nagar",,,
CB-ICS-AP-00014,CISCE,St. ANN's School,​Guntur,Andhra Pradesh,,ICSE/ISC,,Nidubrolu P. O. Ponnur,,,
CB-ICS-AP-00015,CISCE,Bhuvanagiri Public School,​Kadapa,Andhra Pradesh,,ICSE/ISC,,Krishnaveni Nagar Railway Station Kodur Kukka,,,
CB-ICS-AP-00016,CISCE,Queen Mary's School,​Kadapa,Andhra Pradesh,,ICSE/ISC,,Super Bazar Road Prodatur,,,
CB-ICS-AP-00017,CISCE,The Hyderabad Public School,​Kadapa,Andhra Pradesh,,ICSE/ISC,,Opposite Rims Putlampalle Cuddapah,,,
CB-ICS-AP-00018,CISCE,S. D. A. Higher Secondary School,​Krishna,Andhra Pradesh,,ICSE/ISC,,Nuzvid,,,
CB-ICS-AP-00019,CISCE,Seventh Day Adventist High School,​Krishna,Andhra Pradesh,,ICSE/ISC,,Bunder Road Vijayawada,,,
CB-ICS-AP-00020,CISCE,St. ANN's School,​Krishna,Andhra Pradesh,,ICSE/ISC,,Ajitsingh Nagar Vijayawada,,,
CB-ICS-AP-00021,CISCE,St. Francis E. M. B High School,​Krishna,Andhra Pradesh,,ICSE/ISC,,Machilipatnam,,,
CB-ICS-AP-00022,CISCE,Vikasa Vidya Vanam School,​Krishna,Andhra Pradesh,,ICSE/ISC,,Poranki,,,
CB-ICS-AP-00023,CISCE,Heritage Valley The Indian School,​Mahabubnagar,Andhra Pradesh,,ICSE/ISC,,Papireddyguda Keshampet Shadnagar,,,
CB-ICS-AP-00024,CISCE,Simhapuri Public School,​Nellore,Andhra Pradesh,,ICSE/ISC,,Kommare Pudi ( Post ),,,
CB-ICS-AP-00025,CISCE,Sree Simhapuri Day School,​Nellore,Andhra Pradesh,,ICSE/ISC,,Opposite Telugu Ganga Quarters Vijayalakshmi,,,
CB-ICS-AP-00026,CISCE,St. Mary's Public School,​Nellore,Andhra Pradesh,,ICSE/ISC,,Shanthi Nagar Kavali,,,
CB-ICS-AP-00027,CISCE,Indian Blossoms International School,​Prakasam,Andhra Pradesh,,ICSE/ISC,,Kothapatnam Road Near Koppole Ongole,,,
CB-ICS-AP-00028,CISCE,Ongole Public School,​Prakasam,Andhra Pradesh,,ICSE/ISC,,Gauthama Nagar Mangamur Road Ongole,,,
CB-ICS-AP-00029,CISCE,St. ANN's School,​Prakasam,Andhra Pradesh,,ICSE/ISC,,Mariampet Chirala,,,
CB-ICS-AP-00030,CISCE,St. ANN's Convent School,​Srikakulam,Andhra Pradesh,,ICSE/ISC,,P. O. Pathapatnam,,,
CB-ICS-AP-00031,CISCE,St. Joseph's High School,​Srikakulam,Andhra Pradesh,,ICSE/ISC,,Convent Road,,,
CB-ICS-AP-00032,CISCE,Bethany School,​Visakhapatnam,Andhra Pradesh,,ICSE/ISC,,D. #10-50-29 Waltair Main Road,,,
CB-ICS-AP-00033,CISCE,De Paul School,​Visakhapatnam,Andhra Pradesh,,ICSE/ISC,,Sector VIII Ukkunagaram,,,
CB-ICS-AP-00034,CISCE,Fort Catholic Girls' School,​Visakhapatnam,Andhra Pradesh,,ICSE/ISC,,Old Post Office Fort,,,
CB-ICS-AP-00035,CISCE,Good Shepherd E. M. School,​Visakhapatnam,Andhra Pradesh,,ICSE/ISC,,Anakapalle,,,
CB-ICS-AP-00036,CISCE,Kotak Salesian School,​Visakhapatnam,Andhra Pradesh,,ICSE/ISC,,Chinna Waltair,,,
CB-ICS-AP-00037,CISCE,Mrs. Mariadas U. P. School,​Visakhapatnam,Andhra Pradesh,,ICSE/ISC,,Annamma Colony Sriharipuram,,,
CB-ICS-AP-00038,CISCE,Nava Jeevan Public School,​Visakhapatnam,Andhra Pradesh,,ICSE/ISC,,Charity Center Bhimli P. O. Box #3 Dora Thota,,,
CB-ICS-AP-00039,CISCE,Public School,​Visakhapatnam,Andhra Pradesh,,ICSE/ISC,,M. V. P. Colony,,,
CB-ICS-AP-00040,CISCE,Siva Sivani Public School,​Visakhapatnam,Andhra Pradesh,,ICSE/ISC,,#7-1-43 Kirlampudi Layout,,,
CB-ICS-AP-00041,CISCE,Spring Dales Public School,​Visakhapatnam,Andhra Pradesh,,ICSE/ISC,,2/72 High School Road New Gajuwaka,,,
CB-ICS-AP-00042,CISCE,St. Aloysius Anglo - Indian High School,​Visakhapatnam,Andhra Pradesh,,ICSE/ISC,,Old Post Office,,,
CB-ICS-AP-00043,CISCE,St. Ann's E. M. School,​Visakhapatnam,Andhra Pradesh,,ICSE/ISC,,Paderu P. O,,,
CB-ICS-AP-00044,CISCE,St. Ann's Eng. Med. School,​Visakhapatnam,Andhra Pradesh,,ICSE/ISC,,Butchirajupalem,,,
CB-ICS-AP-00045,CISCE,St. Francis School,​Visakhapatnam,Andhra Pradesh,,ICSE/ISC,,P. O. P. M Palam Madhura Wada,,,
CB-ICS-AP-00046,CISCE,St. John's Parish School,​Visakhapatnam,Andhra Pradesh,,ICSE/ISC,,Thompson Street Near Old Post Office,,,
CB-ICS-AP-00047,CISCE,St. Joseph's Girls' High School,​Visakhapatnam,Andhra Pradesh,,ICSE/ISC,,Waltair R. S,,,
CB-ICS-AP-00048,CISCE,St. Joseph's High School,​Visakhapatnam,Andhra Pradesh,,ICSE/ISC,,Yendapallivalsa Araku R. S,,,
